/*
本文件为人工标注的3676个实体对，所有已标注实体对关系的示例将对应于train_data.txt，共包含对应3676个包。
本数据集版权由csdn博主【华师数据学院·王嘉宁】所有，如若您的科研、毕设等中使用本数据集，请在您的科研成果或论文中引用该博文：https://blog.csdn.net/qq_36426650/article/details/87719204。
本数据集因主要爬取百度百科、互动百科和博客园，因此仅供科研使用，禁止任何形式的商业行为。
*/
[entity1] [entity2] [label]
路径 编码 无关
数组 取模 无关
散列 红黑树 被依赖
数据结构 伸展树 包含
数据 中序遍历 无关
子图 算法 无关
变量 活动 无关
字符 路径 无关
数学归纳法 算法 属性
检索 参数 无关
链表 树形结构 拥有
开放定址法 删除 无关
引用 编码 无关
结点 双向链表 属性
带权有向图 带权邻接矩阵 拥有
队列 遍历 拥有
二叉树 平衡二叉树 包含
时间复杂度 频度 依赖
内存 后进先出 无关
程序 压栈 无关
索引 程序 无关
变量 顶点 依赖
链表 赋值 无关
指针 地址排序 无关
遍历 记录 无关
遍历 双向链表 属性
索引 表达式 拥有
字符串 元素 无关
链表 静态链表 包含
兄弟结点 程序 无关
删除 散列 属性
排序 程序 无关
AC自动机 前缀树 依赖
模式串 记录 无关
删除 堆排序 无关
二叉树 双向链表 无关
队列 时间复杂度 无关
根结点 查找效率 无关
参数 字典 无关
参数 数据结构 无关
修改 父结点 无关
根结点 递归 无关
数据元素 深度 无关
子串 模式串 属性
修改 符号表 无关
浮点型 字符型 无关
直接插入排序 起泡排序 无关
插入 选择排序 无关
检索 哈希表 拥有
遍历 数据项 属性
数组 哈希函数 无关
数据 计数排序 无关
可行性 剪枝 属性
递归算法 排序 无关
正则表达式 输入 无关
正则表达式 参数 无关
森林 中序遍历 拥有
顺序查找 关键字 依赖
右孩子 父结点 属性
数据 起泡排序 无关
元素 快速排序 无关
单向链表 遍历 拥有
双向链表 删除 拥有
链表 算法 无关
操作数 程序 无关
删除 排序 无关
索引 整型 无关
删除 子图 无关
元素 顺序表 属性
散列 内存 拥有
字典 哈希表 属性
链地址法 冲突 属性
兄弟结点 双亲结点 依赖
遍历 参数 无关
算法 平衡二叉树 属性
生成树 子图 无关
最小生成树 数组 无关
最小生成树 集合 无关
数据结构 表达式 无关
红黑树 参数 无关
三维数组 表达式 无关
形式参数 数组 无关
字符 布尔型 无关
生成树 非连通图 无关
十字链表 邻接多重表 属于
顶点 指针域 无关
递归 顶点 无关
顶点 检索 无关
广度优先遍历 遍历 属于
插入 哈希地址 无关
右孩子 出栈 无关
检索 装填因子 无关
元素 左孩子 无关
队列 队头 拥有
输入 出栈 无关
右子树 折半查找 无关
检索 字典 依赖
编译 深度 无关
文件 传输时间 拥有
字符 父结点 无关
路径压缩 集合 无关
删除 生成树 无关
算法 希尔排序 属性
拓扑排序 算法 拥有
算法 优先队列 无关
编译 空指针 无关
NP问题 模拟退火算法 包含
实型 参数 无关
删除 栈底 无关
删除 出栈 无关
数组 一维数组 包含
字符 出栈 无关
字符串 引用 无关
算法 入队 无关
遍历 深度 无关
主串 字符 无关
编码 数据结构 属于
算法 哈夫曼编码 属性
内存 运算符 无关
函数名 形式参数 无关
多路查找树 B树 同义
主函数 记录 无关
左子树 深度 拥有
修改 路径 无关
快速排序 指针 无关
结点 外部结点 包含
有序链表 时间复杂度 无关
冲突 修改 无关
线性探测 元素 无关
双端队列 数据 无关
链地址法 哈希表 属性
散列 单向链表 依赖
插入 空间复杂度 无关
拓扑排序 AOV网 属性
拓扑排序 队列 无关
哈希函数 算法 属于
哈希表 插入 无关
背包问题 贪心法 拥有
输入 删除 无关
无向边 结点 拥有
结点 进栈 无关
实值参数 进栈 无关
查找表 深度 无关
冲突 记录 无关
数组 基数排序 拥有
基数排序 数组 属性
左孩子 输出 无关
基数排序 算法 拥有
常量 数组 属性
映像 程序 无关
广度优先遍历 旅行商问题 无关
映像 输出 无关
子串 查找效率 无关
基数排序 空间复杂度 拥有
主函数 整型 无关
字典 字符 无关
整型 字符 无关
询问 最小生成树 无关
有限序列 线性表 包含
三维数组 参数 无关
最短路径 广度优先遍历 无关
删除 叶子结点 属性
编译 路径 无关
数据 活动 被依赖
深度优先遍历 回文串 无关
二叉树 父结点 拥有
删除 兄弟结点 无关
关键字 稠密索引 被依赖
B+树 兄弟结点 无关
出栈 删除 无关
程序 时间复杂度 拥有
选择排序 插入排序 无关
队头 删除 无关
顺序表 顺序查找 拥有
链地址法 装填因子 依赖
链地址法 指针 依赖
移位叠加 哈希地址 被依赖
文件 结点 无关
优先队列 队列 属于
频度 索引 无关
队列 队头元素 拥有
排序 根结点 无关
后序遍历 字符串 无关
符号表 文件 属性
变量名 参数 无关
进栈 队列 无关
进栈 遍历 无关
队列 记录 无关
数据项 链表 属性
元素 整型 无关
折半查找 指针 无关
程序 进栈 无关
进栈 程序 无关
强连通分量 割点 无关
无向图 深度优先遍历 拥有
数据项 栈顶 无关
最小生成树 叶子结点 无关
递归算法 空间复杂度 拥有
存储地址 数据 无关
旅行商问题 遍历 无关
顺序表 删除 拥有
输入 二叉树 无关
无向图 简单环 无关
赋值 内存地址 无关
桶排序 内存 依赖
编译 符号表 依赖
引用 链表 属性
二叉树 删除 拥有
变量 确定性 无关
中缀表达式 运算符 依赖
记录 反向索引 属性
倒排文件 输出 无关
询问 频度 无关
哈希表 负载因子 拥有
表达式 指针 无关
深度 深度优先遍历 无关
二维数组 结点 无关
入队 删除 无关
B+树 检索 属性
输入 子集 无关
基地址 修改 无关
空间复杂度 数组 无关
算法 割边 无关
邻接表 广度优先遍历 被依赖
字典 前缀树 无关
前缀树 检索 属性
输入 可读性 无关
平衡二叉树 后缀树 无关
递归 数据结构 属于
二叉排序树 父结点 拥有
子树 删除 依赖
检索 文件 属性
空类型 变量 属性
数组 父结点 无关
算法 插入排序 属性
表达式 结点 无关
文件 时间复杂度 无关
顶点 排序 无关
根结点 编码 无关
文件 遍历 无关
中缀表达式 输出 无关
剪枝 程序 无关
内存 哈希表 被依赖
树形结构 数组 无关
检索 空树 无关
队列 子树 无关
索引 B树 拥有
头结点 存储地址 无关
字典 算法 无关
集合 AC自动机 无关
孩子结点 根结点 属性
迭代器 内存 无关
路径 健壮性 无关
出栈 结点 无关
右子树 右孩子 依赖
根结点 左孩子 拥有
平衡二叉树 元素 无关
数据项 位串 无关
询问 字符 无关
检索 迭代器 无关
链表 循环链表 包含
数据域 数据元素 拥有
存储结构 随机存取 包含
叶子结点 链表 无关
输出 层序遍历 无关
折半查找 平均查找长度 拥有
斐波那契查找 检索 属于
双向循环链表 结点 拥有
输出 关键字 无关
存储结构 算法 无关
队列 中序遍历 无关
记录 压栈 无关
出栈 数据 无关
检索 双亲 无关
后序遍历 二叉树 属性
邻接矩阵 二维数组 属于
线性表 检索 拥有
存储结构 关键字 无关
哈希函数 哈希地址 被依赖
希尔排序 堆排序 包含
中序序列 字符 无关
数据类型 赋值 无关
引用 路径 无关
路径 引用 无关
稠密索引 链表 依赖
插入 兄弟结点 无关
遍历 尾结点 无关
二叉树 集合 无关
有向图 负权回路 无关
数组 字符序列 无关
数据结构 询问 包含
链式存储结构 数据元素 依赖
基数排序 伪代码 拥有
满二叉树 右子树 无关
层序遍历 遍历 属于
顶点 无向边 无关
数据 头指针 无关
迪杰斯特拉算法 时间复杂度 拥有
插入 子树 无关
排序 深度 无关
后继 删除 拥有
普里姆算法 集合 无关
带权图 生成树 拥有
广义表 存储结构 拥有
邻接点 最短路径 被依赖
邻接矩阵 普里姆算法 被依赖
带权无向图 子图 拥有
中序遍历 数组 无关
字符型 变量 属性
符号表 数据结构 属于
赋值语句 编译 无关
队列 深度 无关
指针 后缀树 无关
队头元素 二叉树 无关
路径 索引文件 无关
负权边 最短路径 无关
字符串 哈希地址 无关
字符串 链表 无关
稠密图 普里姆算法 无关
表达式 整型 无关
链表 符号表 无关
符号表 算法 无关
修改 简单路径 无关
哈希表 红黑树 无关
顶点 最小生成树 无关
优先队列 最小生成树 无关
先序遍历 遍历 属于
时间复杂度 集合 无关
静态查找表 数据 无关
前驱 路径 无关
插入 指针域 无关
数组指针 顺序表 无关
结点 变量 无关
排序 左子树 无关
哈夫曼树 最优二叉树 属于
邻接矩阵 深度优先遍历 被依赖
排序 删除 无关
模式匹配 表达式 无关
输出 右子树 无关
链式存储结构 数组 无关
输入 递归 无关
递归 内存 无关
二叉树 二叉链表 拥有
存储结构 孩子结点 无关
递归 路径 无关
内存 红黑树 无关
红黑树 时间复杂度 拥有
进栈 空栈 无关
深度 红黑树 属性
红黑树 根结点 拥有
右孩子 兄弟结点 无关
空间复杂度 排序 属性
二叉树 前序序列 拥有
子树 递归 无关
哈希表 递归函数 无关
表达式树 进栈 无关
遍历 层序遍历 包含
递归 遍历二叉树 被依赖
深度优先遍历 回路 无关
中序遍历 元素 无关
二维数组 记录 无关
字符型 基数排序 无关
递归 循环语句 无关
活动 引用 无关
遍历 生成树 无关
指针 入队 无关
索引 模式匹配 包含
散列 字典 无关
遍历 折半查找 无关
修改 出栈 无关
元素 B+树 属性
队列 活动 无关
深度优先遍历 数据 无关
路径 根结点 无关
扩充二叉树 结点 拥有
进栈 后进先出 无关
输入 队列 无关
选择排序 关键字 依赖
指针域 链表 属性
B树 树 属于
出队 先进先出 依赖
输出 删除 无关
普里姆算法 结点 无关
入队 插入 无关
路径 字符串 无关
折半插入排序 元素 无关
子树 数据 无关
子树 剪枝 无关
叶子结点 剪枝 被依赖
元素 查找表 无关
取模 数组 无关
邻接点 入队 无关
字符 首字符 无关
多模匹配 字符串 属性
祖先 集合 无关
后进先出 队列 无关
遍历 头结点 无关
算法 桶排序 属性
分治法 排序 属性
基数排序 插入 无关
子树 完全二叉树 无关
程序 指示器 拥有
程序 空指针 无关
链表 折半查找 无关
指针数组 参数 无关
红黑树 元素 无关
检索 右子树 属性
算法 直接插入排序 属性
KMP算法 数据结构 属于
指针 模式串 无关
主串 检索 无关
检索 单向链表 属性
算法 队尾 无关
记录 活动 无关
顺序表 内存地址 无关
森林 数据 无关
引用 字符 无关
运算符 输入 无关
迭代器 字符串 无关
输入 红黑树 无关
输入 指针 无关
并查集 连通分量 属性
结点 并查集 无关
集合 运算符 拥有
数据类型 散列 无关
模式串 程序 无关
健壮性 输出 无关
哈希表 链地址法 拥有
冲突 红黑树 无关
开放定址法 散列 属性
递归算法 正确性 无关
插入 关节点 无关
数据结构 物理结构 依赖
时间复杂度 KMP算法 属性
变量 递归函数 无关
时间复杂度 深度 无关
哨兵 数据 无关
折半查找 链表 无关
数据 二叉排序树 无关
检索 伪代码 无关
无向图 割边 无关
顶点 割边 无关
活动 栈顶 无关
索引 变量 无关
操作数 出栈 无关
操作数 参数 无关
操作数 栈顶 无关
入度 活动 无关
路径 拓扑排序 无关
出队 队尾 无关
文件 双向链表 无关
数组 子串 无关
负载因子 元素 无关
头结点 删除 拥有
基数排序 正确性 无关
冲突 链地址法 拥有
散列 递归 无关
确定性 排序 无关
算法 编译 无关
生成树 回路 无关
二叉排序树 B+树 包含
检索 最短路径 无关
结点 空串 无关
时间复杂度 检索 属性
常量 符号表 无关
存储结构 线性结构 包含
回路 空间复杂度 无关
二叉链表 完全二叉树 属性
参数 结点 无关
记录 深度 无关
确定性 路径 无关
记录 字符 无关
删除 深度优先遍历 无关
字符 遍历 无关
数据结构 变量 无关
结点 线索化 无关
链表 字符 无关
右孩子 操作数 无关
旅行商问题 遗传算法 拥有
循环队列 元素 无关
循环链表 链表 属于
深度 广义表 属性
排序 哈希表 属性
先进先出 数据结构 属于
邻接多重表 存储结构 属性
子图 删除 无关
传输时间 数据 无关
平衡二叉树 多路查找树 包含
内部结点 指针 无关
B树 数组 无关
双向链表 检索 拥有
元素 中序序列 无关
路径 散列 无关
修改 散列 无关
删除 输出 无关
割边 元素 无关
割点 连通图 无关
连通分量 深度优先遍历 无关
N叉树 根结点 拥有
模式串 时间复杂度 无关
内存 冲突 无关
有向边 最短路径 拥有
记录 子串 无关
层序遍历 输出 无关
二叉链表 链域 拥有
二叉链表 结点 拥有
中序序列 结点 无关
常量 递归函数 无关
活动 结点 无关
回溯法 分支界限法 被依赖
线性数据结构 非线性数据结构 反义
排序 伪代码 无关
输出 单向链表 无关
头指针 关键字 无关
输入 编译 无关
输入 询问 无关
数据 深度优先遍历 无关
兄弟结点 删除 无关
父结点 祖先 包含
最短路径 父结点 无关
归并排序 子图 无关
内部排序 外部排序 反义
关键字 输出 无关
删除 冲突 无关
表达式树 遍历 拥有
运算符 折半查找 无关
空间复杂度 快速排序 属性
哈希表 实值参数 无关
线性表 集合 无关
数组 开放定址法 无关
完全二叉树 右孩子 拥有
线性探测 装填因子 依赖
线性探测 哈希函数 依赖
变量 逻辑结构 无关
插入 存储结构 无关
插入 左孩子 无关
插入 右孩子 无关
背包问题 数据 无关
强连通分量 子图 无关
兄弟结点 排序 无关
路径 子树 无关
子树 强连通分量 无关
有向图 Tarjan算法 拥有
入度 进栈 无关
剪枝 数据 无关
数据 子树 无关
冲突 数组 无关
前驱 删除 无关
数据元素 顺序栈 无关
记录 强连通分量 无关
删除 割点 属性
无向图 遍历 拥有
队列 顶点 无关
叶子结点 递归 无关
遍历二叉树 先序遍历 无关
广义表 修改 无关
弗洛伊德算法 顶点 无关
数组 主函数 无关
空表 指针域 无关
内存 循环队列 无关
割点 根结点 无关
输入 归并排序 无关
栈顶指针 栈底指针 反义
递归算法 赋值 无关
左孩子 孩子结点 属于
操作数 进栈 无关
字符串 压栈 无关
链表 参数 无关
简单路径 简单回路 包含
链式存储结构 线性表 属性
输出 前驱 无关
循环链表 双向链表 无关
插入 双向链表 属性
递归 广义表 属性
双亲 整除 无关
存储结构 旅行商问题 无关
线索化 后继 无关
编译 后缀表示 无关
数组 有向图 无关
有向无环图 活动 无关
关键字 链表 无关
散列 平均查找长度 拥有
字符序列 快速排序 无关
折半查找 归并排序 无关
递归 分治法 无关
B树 元素 无关
二叉排序树 平衡因子 拥有
编译 抽象数据类型 无关
B树 排序 依赖
祖先 深度 无关
双端队列 内存 无关
运算符 字符 无关
赋值 插入 无关
编译 运算符 依赖
尾结点 头结点 反义
输出 内存 无关
空表 前驱 无关
数据结构 子串 包含
父结点 路径 无关
子串 前缀树 无关
指针 祖先 无关
哈夫曼树 程序 无关
指示器 数组 属性
生成森林 邻接表 无关
指示器 元素 无关
回路 集合 无关
红黑树 前驱 无关
二叉排序树 修改 无关
集合 哈希函数 无关
折叠法 哈希地址 属性
连通分量 根结点 无关
头指针 顶点 无关
路径压缩 并查集 属性
三叉树 入队 无关
队列 广度优先遍历 无关
红黑树 变量 无关
哨兵 结点 无关
强连通分量 深度优先遍历 无关
排序 队列 无关
右子树 递归 无关
逻辑结构 物理结构 反义
右子树 删除 无关
索引 询问 拥有
子树 右孩子 无关
二维数组 程序 无关
后缀树 字符 无关
形式参数 修改 无关
检索 出队 无关
实型 浮点型 无关
分治法 子集 无关
形式参数 主函数 无关
集合 完全图 无关
归并排序 数据 无关
数据元素 物理结构 依赖
内存 路径 无关
结点 索引表 无关
元素 形式参数 无关
最小生成树 普里姆算法 拥有
频度 变量 无关
队头元素 删除 拥有
基数排序 数据 无关
数组 计数排序 拥有
指针 输出 无关
变量 整除 拥有
孩子结点 指针 拥有
元素 队尾元素 包含
参数列表 索引 无关
散列 编码 无关
B树 兄弟结点 无关
参数列表 指针 无关
索引 子集 无关
顺序查找 时间复杂度 拥有
查找效率 深度 无关
红黑树 符号表 无关
索引 频度 无关
插入 队尾元素 属性
指针 递归 无关
深度优先遍历 有向无环图 属性
数组 出栈 无关
二维数组 引用 拥有
并查集 索引 无关
迪杰斯特拉算法 单源最短路径 属性
删除 字典 属性
B树 二叉树 属于
中序遍历 中缀表达式 被依赖
叶子结点 红黑树 属性
可行性 背包问题 无关
算法 败者树 属性
左子树 尾结点 无关
关键字 内部排序 被依赖
B树 根结点 拥有
后继 迭代器 无关
二叉树 迭代器 无关
文件 压缩存储 拥有
右孩子 关键字 无关
根结点 引用 无关
插入 栈底 属性
左孩子 链表 无关
头指针 时间复杂度 无关
先进先出 邻接表 无关
遍历 割点 无关
冲突 常量 无关
最短路径 输出 无关
数据元素 二维数组 无关
链表结构 链表 属性
遍历 伪代码 拥有
哈希函数 输出 拥有
结点 哈希表 无关
数据结构 邻接点 无关
数据项 集合 属于
前缀树 键树 同义
索引文件 索引表 被依赖
参数列表 内存 无关
直接插入排序 折半插入排序 被依赖
路径 BF算法 无关
红黑树 文件 无关
子树 先序遍历 无关
赋值 索引 无关
参数 迭代器 无关
算法 顺序表 属性
询问 左子树 无关
算法 基数排序 属性
变量 空串 无关
编码 字典 无关
Tarjan算法 伪代码 拥有
空表 遍历 无关
遍历 有向图 属性
出队 队头 属性
散列 查找表 被依赖
文件 稀疏矩阵 无关
双向链表 递归 无关
头结点 二叉树 属性
无环图 顶点 无关
右子树 输出 无关
模式串 散列 无关
数据项 哈希表 无关
指针 左子树 无关
递归 正则表达式 无关
活动 参数 无关
归并排序 基数排序 无关
时间复杂度 结点 无关
删除 顺序表 属性
数据 直接插入排序 无关
字典 AC自动机 无关
链表 邻接矩阵 无关
后进先出 先进先出 反义
再哈希法 线性探测 无关
链表 顺序表 反义
蚁群算法 旅行商问题 无关
数据结构 链表结构 包含
线索化 指针域 无关
入度 删除 无关
索引 活动 无关
KMP算法 BM算法 依赖
算法 右孩子 无关
数组指针 元素 无关
KD树 算法 拥有
散列 内存地址 无关
次关键字 插入 无关
指针 哈希地址 无关
哈希表 指针数组 无关
迭代器 字典 无关
B树 指针 无关
B+树 内存 无关
程序 二叉排序树 无关
哈希表 单向链表 依赖
叶子结点 内存 无关
表达式 空类型 无关
形式参数 参数列表 无关
无向边 入度 无关
回路 出度 无关
回路 最短路径 无关
逆邻接表 输入 无关
直接插入排序 文件 无关
直接插入排序 归并排序 无关
线索链表 头结点 拥有
指针 中序遍历 无关
模式匹配 子串 依赖
分离链接法 链地址法 无关
等价类 变量 无关
整除 排序 无关
排序 路径 无关
符号表 字符串 无关
无向图 有向图 反义
变量 顺序文件 无关
关键路径 输出 无关
有向图 顶点 无关
路径 森林 属性
指针 数据 无关
KMP算法 P问题 属于
记录 数据 属于
排序 数据 依赖
检索 数据 依赖
邻接点 邻接矩阵 被依赖
关键字 索引 被依赖
空类型 运算符 无关
字符 数据 属于
迭代器 数据 无关
数据 程序 无关
入度 记录 无关
顶点 并查集 无关
链式存储结构 插入 无关
函数名 程序 无关
活动 内存 无关
数据结构 操作数 包含
数据 询问 无关
实值参数 关键字 无关
结点 子树 属于
结点 深度 被依赖
数据结构 森林 包含
森林 子树 拥有
P问题 NP问题 反义
赋值 压栈 无关
输出 中序遍历 无关
输入 算法 属性
先序遍历 栈顶 无关
排序 表排序 包含
随机存取 双端队列 属性
后进先出 插入 无关
元素 数组 属于
空指针 删除 无关
结构类型 逻辑结构 包含
祖先 线索二叉树 无关
算法 确定性 拥有
AC自动机 父结点 无关
栈顶 压栈 被依赖
存储结构 折半查找 无关
元素 进栈 被依赖
栈顶 指针 拥有
排序 归并排序 包含
哈希函数 结点 无关
排序 快速排序 包含
排序 元素 依赖
空表 深度 无关
空指针 数组 属性
字符 根结点 无关
检索 根结点 无关
结点 字符 无关
插入 内存 无关
平衡因子 左子树 依赖
大O表示法 时间复杂度 属性
数组 进栈 无关
中序遍历 遍历 属于
右子树 后序遍历 无关
元素 修改 被依赖
检索 头结点 无关
程序 链表 无关
指针 空队列 无关
结点 压缩存储 无关
路径 简单路径 包含
索引 二叉树 属性
遍历 后继 无关
动态规划法 贪心法 无关
指针域 算法 无关
动态规划法 分治法 无关
变量 形式参数 包含
参数 函数名 无关
实值参数 形式参数 依赖
反向索引 关键字 依赖
内存 变量 无关
删除 链地址法 无关
装填因子 开放定址法 被依赖
插入 B+树 属性
结点 B+树 属于
指针 B+树 属性
变量 模式匹配 无关
内部结点 根结点 依赖
删除 结点 属性
兄弟结点 父结点 依赖
数据 插入排序 被依赖
关键字 记录 属性
树形结构 结点 无关
排序 折半插入排序 包含
插入 数组 属性
记录 插入 被依赖
链表 孩子结点 无关
操作数 删除 无关
引用 双向链表 无关
算法 最短路径 属性
二元组 排序 无关
起泡排序 队尾 无关
后继 字符 无关
算法 交换排序 属性
算法 字符 无关
字符串 字符 依赖
最短路径 迪杰斯特拉算法 拥有
结点 算法 无关
算法 先进先出 无关
函数名 输出 无关
哈希表 哈希函数 拥有
前驱 中序遍历 无关
哈希地址 冲突 拥有
关键字 折叠法 被依赖
关键字 哈希地址 属性
选择排序 直接插入排序 无关
插入 尾插法 包含
数据 算法 无关
中序遍历 堆排序 无关
删除 时间复杂度 无关
文件 算法 无关
散列 算法 无关
邻接多重表 无向图 属性
关键字 哈希表 属性
二叉树 双亲结点 无关
算法 数据结构 依赖
文件 深度 无关
深度 内存 无关
输入 映像 无关
链表 结点 拥有
线性表 链表 拥有
结点 单向链表 属性
冲突 取模 无关
无向图 完全图 包含
修改 负载因子 无关
父结点 数据结构 属于
完全图 结点 拥有
无向完全图 顶点 无关
双亲 右子树 被依赖
算法 克鲁斯卡尔算法 包含
连通分量 结点 依赖
字符 空串 无关
元素 指针域 无关
枚举型 数据类型 属于
运算符 常量 无关
集合 变量 无关
并查集 时间复杂度 拥有
检索 元素 依赖
输出 集合 无关
数据 输入 被依赖
父结点 根结点 包含
文件 叶子结点 无关
变量 表达式 属性
变量 算法 被依赖
表达式 变量名 无关
剪枝 集合 无关
引用 尾结点 无关
空指针 文件 无关
程序 条件语句 包含
输出 变量 依赖
运算符 数据类型 无关
字符串 表达式 无关
回路 遍历 无关
遍历 输入 无关
算法 最小生成树 属性
空间复杂度 结点 无关
函数名 修改 无关
有序树 结点 无关
归并排序 元素 无关
结点 数据 无关
兄弟结点 元素 无关
空指针 字符 无关
记录 顺序表 属性
参数列表 函数名 无关
根结点 树形结构 属性
三元组表 存储结构 属于
出栈 队列 无关
索引 路径 无关
删除 队尾 无关
队头元素 队头指针 拥有
元素 队尾指针 无关
元素 队尾 无关
队列 删除 无关
路径 有向无环图 属性
平衡因子 伸展树 属性
孩子结点 二叉树 属性
稀疏图 算法 无关
输出 出队 无关
修改 链表 无关
冲突 结点 无关
叶子结点 输出 无关
编码 哈夫曼编码 包含
编码 二叉树 属性
编码 算法 无关
数据结构 哈夫曼编码 包含
平衡二叉树 数组 无关
B树 叶子结点 拥有
结点 指针数组 无关
遍历 结点 无关
内存 编码 无关
哈夫曼树 哈夫曼编码 被依赖
顶点 路径 拥有
连通图 算法 无关
深度优先遍历 递归 依赖
深度 平衡因子 无关
路径 记录 无关
线性表 数据 无关
结点 输出 无关
元素 编译 无关
存储结构 单向链表 包含
内存 二维数组 无关
插入 单向链表 属性
运算符 取模 无关
选择排序 单向链表 无关
结点 指针 无关
直接插入排序 链表 无关
有序表 插入 拥有
负载因子 内存 无关
记录 有序表 属性
时间复杂度 直接插入排序 属性
哨兵 变量 无关
直接插入排序 关键字 无关
哨兵 算法 无关
关键字 文件 无关
链表 子树 无关
空树 集合 无关
深度 空树 属性
关键字 冲突 无关
哈希表 散列 依赖
冲突 开放定址法 拥有
冲突 插入 无关
存储地址 冲突 拥有
索引顺序文件 文件 属性
索引 索引项 拥有
链表 检索 拥有
索引顺序文件 虚拟存储存取方法 属性
带权路径长度 路径 属性
最短路径 文件 无关
控制区间 文件 属性
右子树 红黑树 属性
后序遍历 输入 无关
记录 交换排序 无关
等价关系 指针数组 无关
文件 物理结构 拥有
修改 数据 无关
文件 修改 无关
祖先 强连通分量 无关
栈顶 割点 无关
深度 指针 无关
结点 链式存储结构 被依赖
元素 双向链表 无关
指针域 前驱 无关
可行性 文件 属性
参数 栈顶 无关
后继 线索链表 属性
后继 前驱 反义
二叉树 中序遍历 拥有
线索 指针 无关
哈希地址 直接定址法 拥有
哈希表 哈希地址 拥有
集合 树形结构 无关
进栈 形式参数 无关
输出 先序遍历 无关
变量 整型 拥有
线索化 二叉树 属性
有序链表 数组 无关
正确性 算法 属性
有穷性 算法 属性
算法 输出 拥有
数据 健壮性 无关
压栈 递归函数 无关
操作数 整型 无关
结点 子集 无关
深度优先遍历 回溯法 拥有
根结点 回溯法 无关
算法 森林 无关
基数排序 字符串 无关
输出 字典 无关
深度 数据结构 无关
记录 顺序文件 属性
伸展树 检索 属于
父结点 伸展树 属性
程序 伪代码 包含
算法 递归算法 包含
二叉树 根结点 拥有
左孩子 遍历 无关
结点 孩子结点 包含
路径 迪杰斯特拉算法 无关
子树 无序树 属性
结点 右孩子 包含
并查集 算法 属于
前驱 左孩子 无关
基数排序 桶排序 包含
左子树 结点 拥有
路径 输入 无关
时间复杂度 NPC问题 属性
AOE网 输入 无关
遍历 父结点 无关
最小生成树 贪心法 拥有
遍历二叉树 中序遍历 拥有
操作数 中缀表达式 无关
子图 结点 无关
完全图 连通图 包含
有向无环图 有向图 属于
生成森林 有向图 无关
顺序查找 指针 依赖
数据类型 数据 属性
子串 回文串 属性
结构类型 变量 无关
参数 形式参数 包含
参数 关键字 无关
删除 循环队列 无关
邻接矩阵 有向图 属性
邻接矩阵 文件 无关
算法 遗传算法 包含
旅行商问题 NPC问题 拥有
数据域 结点 无关
数据 变量 包含
数据 主函数 无关
编译 变量 无关
变量 程序 属性
算法 前缀树 属性
字符 数组 无关
变量 赋值 被依赖
数组 字符串 属性
赋值 数组 属性
检索 折半查找 包含
编译 递归 无关
平衡因子 右孩子 无关
散列 输出 无关
哈希函数 散列 属性
数据 哈希函数 无关
递归 空树 无关
冲突 算法 无关
右子树 空树 无关
数组 B+树 无关
数据结构 数组 包含
数据结构 叶子结点 包含
后继 元素 无关
赋值 整型 无关
插入 结点 无关
基数排序 计数排序 无关
输出 循环语句 无关
编译 删除 无关
集合 数据结构 无关
散列 B+树 无关
数据 逻辑结构 无关
存储结构 逻辑结构 反义
索引 编译 无关
二叉排序树 遍历 拥有
数据结构 图结构 包含
插入 队列 属性
结点 数据结构 属于
栈顶 数组 无关
蚁群算法 算法 属于
压栈 结点 无关
确定性 遗传算法 属性
字符串 二叉树 无关
数据结构 三叉链表 包含
遍历 二维数组 属性
插入 递归 无关
递归 二叉排序树 被依赖
等价类 元素 无关
等价关系 集合 属性
时间复杂度 询问 属性
二叉树 指针 拥有
数据结构 链表 包含
循环链表 指针 拥有
链表 头结点 拥有
单向链表 数据结构 属于
表达式 操作数 依赖
数据 操作数 包含
记录 数据项 依赖
数组 内存 无关
数据项 文件 无关
文件 输入 无关
索引 物理结构 依赖
算法 选择排序 属性
哈夫曼编码 路径 无关
插入 哨兵 无关
数据结构 B树 包含
B树 平衡二叉排序树 属于
深度 叶子结点 属性
索引 插入 无关
元素 先进先出 无关
深度优先遍历 父结点 无关
数组 分治法 无关
结点 父结点 包含
队列 元素 拥有
数据结构 存储结构 包含
连通分量 遍历 无关
集合 数学归纳法 无关
链表 链栈 包含
结点 生成树 属性
有向无环图 强连通分量 拥有
顶点 有向无环图 属性
记录 深度优先遍历 无关
结点 邻接多重表 属性
递归 广度优先遍历 被依赖
算法 静态查找表 属性
右子树 数组 无关
指针域 后继 属性
输出 链表 无关
程序 插入 无关
右子树 递归函数 无关
内存 快速排序 无关
递归 元素 无关
叶子结点 遍历 无关
有向无环图 拓扑排序 拥有
数据 生成树 无关
插入 折半查找 无关
子串 正则表达式 无关
遍历 数据类型 无关
递归算法 遍历 属性
后序遍历 先序遍历 反义
顶点 数据域 无关
记录 胜者树 无关
结点 输入 无关
频度 元素 无关
活动 回路 无关
时间复杂度 单源最短路径 无关
常量 索引 无关
排序 希尔排序 包含
直接插入排序 希尔排序 包含
元素 希尔排序 无关
时间复杂度 希尔排序 包含
子串 结点 无关
后缀树 字符串 无关
祖先 孩子结点 拥有
起泡排序 元素 无关
函数名 关键字 无关
背包问题 时间复杂度 无关
程序 正确性 拥有
数组 输出 无关
